original	google_translation
overripe	überreif
overrule	überstimmen
overruling	überstimmen
overrun	überrannt
overrunning	überlaufen
oversaturation	Übersättigung
oversea	Übersee
overseas	Übersee-
oversee	überwachen
overseen	beaufsichtigt
overseer	Aufseher
oversensitive	überempfindlich
overset	übersetzen
overshadow	überschatten
overshadowing	überschatten
overshoot	Überschießen
oversight	Aufsicht
oversimplification	übermäßige Vereinfachung
oversized	übergroß
oversleep	verschlafen
oversold	überverkauft
overspecialization	Überspezialisierung
overspecialized	überspezialisiert
overspill	Überspiel
overstaff	Überbesetzung
overstaffed	überbesetzt
overstate	übertreiben
overstatement	Übertreibung
overstay	Überschreitung
overstep	überschreiten
overstimulation	Überstimulation
overstock	Überbestände
overstrain	überfordern
overstress	Überbeanspruchung
overstretch	überdehnen
overstuff	Übermaß
oversupply	Überangebot
oversweet	übersüß
overt	offenkundig
overtax	überfordern
overthrow	Sturz
overtime	im Laufe der Zeit
overtiredness	Übermüdung
overtly	offen
overtreatment	Überbehandlung
overture	Ouvertüre
overturn	umkippen
overuse	Überbeanspruchung
overvaluation	Überbewertung
overvalue	Überbewertet
overview	Überblick
overweigh	überwiegen
overweight	Übergewicht
overwhelm	überwältigen
overwhelmed	überwältigt
overwhelming	überwältigend
overwhelmingly	überwiegend
overwork	Überarbeitung
overworked	überarbeitet
overwrite	überschreiben
overwrought	überreizt
overzealous	übereifrig
overzealously	übereifrig
overzealousness	Übereifer
ovulate	Eisprung
ovulation	Ovulation
ovum	Ovum
owe	verdanken
owing	geschuldet
owl	Eule
owlish	eulenartig
own	eigen
owner	Eigentümer
ownerless	herrenlos
ownership	Eigentum
ox	Ochse
oxblood	Ochsenblut
oxcart	Ochsenkarren
oxford	Oxford
oxidant	Oxidationsmittel
oxidation	Oxidation
oxidative	oxidativ
oxide	Oxid
oxidization	Oxidation
oxidizer	Oxidationsmittel
oxidizing	oxidierend
oxtail	Ochsenschwanz
oxygen	Sauerstoff
oxygenating	Sauerstoffanreichernd
oxygenation	Oxygenierung
oxymoron	Oxymoron
oyster	Auster
pace	Tempo
paced	Tempo
pacemaker	Schrittmacher
pacer	Schrittmacher
pacific	Pazifik
pacification	Befriedung
pacifier	Schnuller
pacifism	Pazifismus
pacifist	Pazifist
pacify	beruhigen
pack	Pack
packable	verpackbar
package	Paket
packager	Packager
packaging	Verpackung
packet	Paket
packhorse	Packpferd
pact	Pakt
pad	Unterlage
padded	gepolstert
padding	Polsterung
paddle	Paddel
paddleball	Paddleball
paddled	gepaddelt
paddlefish	Paddelfisch
paddler	Paddler
paddling	paddeln
paddock	Koppel
padre	Vater
pagan	heidnisch
paganism	Heidentum
page	Seite
pageant	Festzug
pageantry	Prunk
pagenumber	Seitennummer
pager	Pager
paging	Paging
pagoda	Pagode
pail	Eimer
pain	Schmerz
pained	geschmerzt
painful	schmerzlich
painfully	schmerzlich
painfulness	Schmerzhaftigkeit
paining	Schmerzen
painkiller	Schmerzmittel
painless	schmerzlos
painlessly	schmerzlos
painlessness	Schmerzlosigkeit
pains	Schmerzen
painstaking	mühsam
painstakingly	sorgfältig
painstakingness	Peinlichkeit
paint	malen
paintable	lackierbar
paintball	Paintball
paintbox	Malkasten
painted	bemalt
painter	Maler
painting	Malerei
pair	Paar
pajama	Schlafanzug
pajamas	Pyjama
pal	Kumpel
palace	Palast
palatability	Schmackhaftigkeit
palatable	schmackhaft
palatably	schmackhaft
palate	Gaumen
pale	blass
paled	blass
paleface	Blasses Gesicht
paleness	Blässe
paleoanthropologist	Paläoanthropologe
paleontological	paläontologisch
paleontologist	Paläontologe
paleontology	Paläontologie
paler	blasser
pales	verblasst
palette	Palette
pallet	Palette
palliative	palliativ
palm	Palme
palmed	palmiert
palmtree	Palme
palpable	spürbar
palpably	spürbar
palpation	Palpation
palpitate	Herzklopfen
palpitation	Herzklopfen
palsy	Lähmung
paltry	dürftig
pamper	verwöhnen
pampered	verwöhnt
pamperer	Verwöhner
pampers	verwöhnt
pamphlet	Broschüre
pan	Pfanne
panache	Elan
panama	Panama
pancake	Pfannkuchen
pancreas	Pankreas
pancreatic	Bauchspeicheldrüse
pancreatitis	Pankreatitis
panda	Panda
pandemic	Pandemie
pandemonium	Pandämonium
pane	es gibt
panel	Panel
paneling	Verkleidung
panelist	Diskussionsteilnehmer
panfish	Panfisch
panfry	Pfannengerichte
pang	noch
panhandle	Pfannenstiel
panhandler	Betrüger
panic	Panik
panicked	geriet in Panik
panicky	panisch
panorama	Panorama
panoramic	Panorama-
panoramically	panoramisch
pansy	Stiefmütterchen
pant	keuchen
panther	Panther
panties	Höschen
panting	keuchend
pantomime	Pantomime
pantry	Speisekammer
pants	Hose
pantsuit	Hosenanzug
panty	Höschen
pantyhose	Strumpfhose
papa	Tisch
paparazzi	Paparazzi
paparazzo	Paparazzo
papaya	Papaya
paper	Papier
paperback	Taschenbuch
paperboard	Pappe
paperboy	Erste
paperclip	Büroklammer
papered	tapeziert
paperhanger	Tapezierer
papering	Tapezieren
paperless	papierlos
papermaker	Papiermacher
papermaking	Papierherstellung
paperweight	Briefbeschwerer
paperwork	Papierkram
papery	papierartig
paprika	Paprika
papyrus	Papyrus
parable	Gleichnis
parabola	Parabel
parabolic	parabolisch
parachutist	Fallschirmspringer
parade	Parade
paradigm	Paradigma
parading	paradieren
paradise	Paradies
paradox	Paradox
paragliding	Gleitschirmfliegen
paragraph	Absatz
parakeet	Sittich
paralegal	Rechtsanwaltsgehilfe
parallel	parallel
parallelism	Parallelität
parallelogram	Parallelogramm
paralympics	Paralympics
paralysis	Lähmung
paralyze	lähmen
paramedic	Sanitäter
paramedical	Sanitäter
paramedics	Sanitäter
parameter	Parameter
paramilitary	paramilitärisch
paramount	von größter Bedeutung
paranoia	Paranoia
paranoid	paranoid
paranormal	paranormal
paraphernalia	Utensilien
paraphrase	Paraphrase
paraphraser	Paraphrase
paraplegia	Querschnittslähmung
paraprofessional	paraprofessionell
parapsychology	Parapsychologie
parasail	Parasil
parasite	Parasit
parasitic	parasitär
parasitical	parasitär
parasitically	parasitär
paratroop	Fallschirmjäger
paratrooper	Fallschirmjäger
paratroops	Fallschirmjäger
parcel	Paket
parch	respektieren
parched	ausgedörrt
parchedness	Ausgetrocknetheit
parching	Austrocknen
parchment	Pergament
pardon	Begnadigung
pardonable	verzeihlich
pardoning	verzeihen
parent	Elternteil
parentage	Abstammung
parental	elterlich
parentally	elterlich
parentheses	Klammern
parenthesis	Klammer
parenthesize	Klammern
parenthetical	in Klammern gesetzt
parenthetically	nebenbei
parenthood	Elternschaft
parenting	Erziehung
parentless	elternlos
parfait	Perfekt
pariah	Paria
paring	schälen
parishioner	Gemeindemitglied
park	Park
parka	Parka
parking	Parken
parkway	Allee
parlay	parlay
parliament	Parlament
parliamentarian	Parlamentarier
parliamentary	parlamentarisch
parlor	Salon
parmesan	Parmesan
parochial	parochial
parody	Parodie
parole	Parole
parolee	Bewährungshelfer
parrot	Papagei
parrotfish	Papageienfisch
parsley	Petersilie
parsnip	Pastinake
part	Teil
partake	teilnehmen
partaker	Partner
parted	trennte sich
partial	teilweise
partiality	Parteilichkeit
partially	teilweise
partialness	Parteilichkeit
participant	Teilnehmer
participate	teilnehmen
participation	Beteiligung
participative	partizipativ
participator	Teilnehmer
participatory	partizipativ
participle	Partizip
particle	Partikel
particleboard	Spanplatte
particular	besondere
particularization	Partikularisierung
particularize	spezifizieren
particularly	insbesondere
particulars	Einzelheiten
particulate	Partikel
parting	Abschied
partisan	Partisan
partisanship	Parteinahme
partition	Partition
partitioned	partitioniert
partitioner	Partitionen
partitioning	Partitionierung
partly	teilweise
partner	Partner
partnership	Partnerschaft
partook	teilgenommen
partridge	Rebhuhn
parttime	Teilzeit
partway	teilweise
party	Party
partygoer	Partygänger
pass	passieren
passable	befahrbar
passably	leidlich
passage	Passage
passageway	Durchgang
passcode	Passcode
passenger	Passagier
passerby	Passant
passing	Vorbeigehen
passion	Hingabe
passionate	leidenschaftlich
passionately	leidenschaftlich
passionflower	Passionsblume
passionless	leidenschaftslos
passionlessly	leidenschaftslos
passive	passiv
passively	passiv
passiveness	Passivität
passivism	Passivismus
passivity	Passivität
passkey	Hauptschlüssel
passover	übergehen
passport	Reisepass
password	Passwort
past	Vergangenheit
pasta	Pasta
paste	Paste
pasted	eingeklebt
pastel	Pastell
pasteurization	Pasteurisierung
pasteurizer	Pasteurisator
pasties	Pasteten
pastime	Zeitvertreib
pastiness	pastös
pastor	Pastor
pastoral	pastoral
pastrami	Pastrami
pastry	Gebäck
pasture	Weide
pastureland	Weideland
pasty	pastös
pat	das gleiche
patch	Patch
patchable	patchbar
patchily	lückenhaft
patchiness	lückenhaft
patchwork	Patchwork
patchy	lückenhaft
patella	Patella
patent	Patent
patentability	Patentierbarkeit
patentable	patentierbar
patented	patentiert
patently	offensichtlich
paternal	väterlicherseits
paternalism	Bevormundung
paternalistic	paternalistisch
paternally	väterlicherseits
paternity	Vaterschaft
pathetic	erbärmlich
pathetically	erbärmlich
pathfinder	Pfadfinder
pathless	weglos
pathogen	Erreger
pathogenic	pathogen
pathologic	pathologisch
pathological	pathologisch
pathologically	pathologisch
pathologist	Pathologe
pathology	Pathologie
pathos	Pathos
pathway	Weg
patience	Geduld
patient	geduldig
patiently	geduldig
patio	Terrasse
patriarch	Patriarch
patriarchal	patriarchalisch
patriarchic	patriarchalisch
patriarchy	Patriarchat
patrimony	Patrimonium
patriot	Patriot
patriotic	patriotisch
patriotically	patriotisch
patriotism	Patriotismus
patrol	patrouillieren
patroller	Streifenpolizist
patrolman	Streifenpolizist
patron	Patron
patronize	bevormunden
patronizing	bevormundend
patsy	Sündenbock
patter	prasseln
pattern	Muster
patterned	gemustert
patterning	Musterung
patternmaker	Modellbauer
patternmaking	Musterherstellung
patty	Pastetchen
pauper	Armer
pause	pause
pave	pflastern
pavement	Gehweg
paver	Fertiger
pavestone	im Postamt
pavilion	Pavillon
paving	Pflasterung
paw	Pfote
pawing	scharrend
pawn	Bauer
pawnbroker	Pfandleiher
pawnshop	Pfandhaus
pay	zahlen
payable	zahlbar
payback	Rückzahlung
payday	Zahltag
payee	Zahlungsempfänger
payer	Zahler
paying	zahlen
payload	Nutzlast
payment	Zahlung
payoff	auszahlen
payout	Auszahlung
payphone	Münztelefon
payroll	Lohn-und Gehaltsabrechnung
pea	vielleicht
peace	Frieden
peaceable	friedlich
peaceably	friedlich
peaceful	friedlich
peacefulness	Friedlichkeit
peacekeeper	Friedenstruppe
peacekeeping	Friedenssicherung
peacemaker	Friedensstifter
peacemaking	Frieden schaffen
peacetime	Friedenszeit
peach	Pfirsich
peachiness	Pfirsichgeschmack
peachy	pfirsichfarben
peacock	Pfau
peak	Gipfel
peaked	seinen Höhepunkt erreicht
peaking	Höhepunkt
peanut	Erdnuss
peanuts	Erdnüsse
pear	Birne
pearl	Perle
pearliness	Perlmutt
pearly	perlmuttartig
peasant	Bauer
peasantry	Bauernschaft
peashooter	Erbsenschütze
pebble	Kieselstein
pebbled	kiesig
pebblestone	Kieselstein
pebbly	kiesig
pecan	Pekannuss
peck	picken
pecked	gepickt
pectin	Pektin
pectoral	Brust
peculiar	eigenartig
peculiarity	Besonderheit
pedal	Pedal
pedantic	pedantisch
peddle	hausieren
peddler	Hausierer
peddling	Hausieren
pedestal	Sockel
pedestrian	Fußgänger
pedestrianism	Fußgängerzone
pediatric	pädiatrisch
pediatrician	Kinderarzt
pedicure	Pediküre
pedicurist	Fußpfleger
pedigree	Stammbaum
pedigreed	Stammbaum
pedometer	Schrittzähler
pedophile	Pädophile
pedophilia	Pädophilie
pedophilic	pädophil
pee	pinkeln
peed	gepinkelt
peek	spähen
peekaboo	Guck-Guck
peel	schälen
peeled	geschält
peeler	Schäler
peeling	Peeling
peelings	peelings
peep	gucken
peeper	Peeper
peephole	Guckloch
peepshow	Peepshow
peer	Peer
peerless	unvergleichlich
peeve	ärgern
peeved	verärgert
peevish	mürrisch
peewee	peewee
peg	Pflock
pegboard	Steckbrett
pegged	festgesteckt
pelican	Pelikan
pelt	Fell
pelting	prasseln
pelvic	Becken-
pelvis	Becken
pen	Stift
penal	Strafe
penalization	Strafe
penalize	bestrafen
penalty	Strafe
pencil	Bleistift
penciled	mit Bleistift
penciling	Bleistiftzeichnung
pencilsharpener	Bleistiftspitzer
pendant	während
pending	ausstehend
pendulous	hängend
pendulum	Pendel
penetrability	Durchlässigkeit
penetrable	durchdringbar
penetrate	durchdringen
penetrating	durchdringend
penetratingly	durchdringend
penetration	Penetration
penetrative	durchdringend
penetrator	Penetrator
penguin	Pinguin
penholder	Stifthalter
penicillin	Penicillin
penile	zum Penis
peninsula	Halbinsel
penis	Penis
penitentiary	Zuchthaus
penmanship	Kalligraphie
pennant	Wimpel
penniless	mittellos
penning	schreiben
penny	Penny
pennyweight	Pennygewicht
penpal	Brieffreund
pension	die Pension
pensioner	Rentner
pensive	nachdenklich
pensiveness	Nachdenklichkeit
pentagon	Pentagon
pentagonal	fünfeckig
penthouse	Penthouse
peon	Peon
peony	Pfingstrose
people	Menschen
pepper	Pfeffer
peppercorn	Pfefferkorn
pepperoni	Peperoni
peppery	pfeffrig
peppy	schwungvoll
perceivable	wahrnehmbar
perceivably	spürbar
perceive	wahrnehmen
perceiver	Wahrnehmender
perceiving	wahrnehmen
percent	Prozent
percentage	Prozentsatz
percentile	Perzentil
percept	wahrnehmen
perceptibility	Wahrnehmbarkeit
perceptible	wahrnehmbar
perceptibly	spürbar
perception	Wahrnehmung
perceptional	wahrnehmungsmäßig
perceptive	einfühlsam
perceptively	wahrnehmbar
perceptiveness	Wahrnehmungsfähigkeit
perceptivity	Wahrnehmungsfähigkeit
perceptual	wahrnehmungsbezogen
perceptually	wahrnehmungsmäßig
perch	Barsch
perchance	vielleicht
percolate	versickern
percolation	Versickerung
percolator	Kaffeemaschine
percussion	Schlagzeug
percussionist	Schlagzeuger
percussive	perkussiv
percussiveness	Perkussivität
perennial	mehrjährig
perennially	ständig
perfect	perfekt
perfected	perfektioniert
perfectibility	Vervollkommnungsfähigkeit
perfecting	perfektionieren
perfection	Perfektion
perfectionism	Perfektionismus
perfectionist	Perfektionist
perfectionistic	perfektionistisch
perfective	perfektiv
perfectively	perfekt
perfectly	perfekt
perfectness	Perfektion
perforate	perforieren
perforated	perforiert
perform	ausführen
performable	ausführbar
performance	Leistung
performer	Künstler
perfume	Parfüm
perfumed	parfümiert
perfunctory	oberflächlich
perhaps	vielleicht
peril	Tücke
perilous	gefährlich
perimeter	Umfang
perinatal	perinatal
perineum	Perineum
period	Zeitraum
periodic	periodisch
periodical	Zeitschrift
periodically	regelmäßig
periodontal	parodontal
periods	Perioden
peripheral	peripher
peripherally	peripher
periphery	Peripherie
periscope	Periskop
perish	verenden
perishable	verderblich
perished	umgekommen
perishing	zugrunde gehen
perjure	Meineid leisten
perjured	meineidig
perjurer	Meineidige
perjury	Meineid
perk	Vorteil
perkiness	Frechheit
perky	frech
perm	Dauerwelle
permafrost	Permafrost
permanence	Dauerhaftigkeit
permanency	Dauerhaftigkeit
permanent	dauerhaft
permanently	permanent
permeability	Permeabilität
permeable	durchlässig
permeate	durchdringen
permeation	Permeation
permissible	zulässig
permissibly	zulässig
permission	Erlaubnis
permissive	freizügig
permissiveness	Freizügigkeit
permit	erlauben
permitted	gestattet
permutation	Permutation
peroxide	Peroxid
perpendicular	aufrecht
perpendicularity	Rechtwinkligkeit
perpendicularly	senkrecht
perpetrate	begehen
perpetration	Begehung
perpetrator	Täter
perpetual	ewig
perpetually	ständig
perpetuate	verewigen
perpetuation	Verewigung
perpetuator	Täter
perplex	perplex
perplexed	verwirrt
perplexedly	ratlos
perplexing	verwirrend
perplexingly	verwirrend
perplexity	Verwirrung
persecute	verfolgen
persecuting	verfolgen
persecution	Verfolgung
persecutor	Verfolger
perseverance	Ausdauer
perseveration	Ausdauer
persevere	durchhalten
persevering	ausdauernd
perseveringly	beharrlich
persimmon	Persimmon
persist	fortdauern
persistence	Beharrlichkeit
persistency	Beständigkeit
persistent	hartnäckig
persistently	beharrlich
persisting	anhaltend
person	Person
persona	Person
personable	sympathisch
personage	Persönlichkeit
personal	persönlich
personality	Persönlichkeit
personalization	Personalisierung
personalize	personifizieren
personally	persönlich
personhood	Persönlichkeit
personification	Personifikation
personifier	Personifizierer
personify	personifizieren
personnel	Personal
perspective	Perspektive
perspiration	Schweiß
persuadable	überredbar
persuade	überreden
persuaded	überzeugt
persuader	überreden
persuasion	Überzeugung
persuasive	überzeugend
persuasively	überzeugend
persuasiveness	Überzeugungskraft
pertain	betreffen
pertinence	Relevanz
pertinent	relevant
pertinently	zutreffend
pertness	Keckheit
perturb	stören
perturbed	beunruhigt
perturbing	beunruhigend
pervade	durchdringen
pervasive	allgegenwärtig
pervasively	durchdringend
pervasiveness	Durchdringung
perversely	pervers
perverseness	Perversität
perversion	Perversion
perversity	Perversität
pervert	pervers
perverted	pervertiert
peskiness	Ärgernis
pesky	nervig
peso	Gewicht
pessimism	Pessimismus
pessimist	Pessimist
pessimistic	pessimistisch
pessimistically	pessimistisch
pest	Pest
pester	belästigen
pesticide	Pestizid
pestilence	Pest
pestilent	Pest
pesto	Pesto
pet	Haustier
petal	Blütenblatt
peter	Peter
petite	klein
petition	Petition
petitioner	Antragsteller
petrified	versteinert
petrify	versteinern
petrol	Benzin
petroleum	Petroleum
petticoat	Petticoat
pettily	kleinlich
pettiness	Kleinlichkeit
petty	belanglos
petulance	Gereiztheit
petulantly	gereizt
petunia	Petunie
pew	Bank
pewter	Zinn
phalanges	Phalangen
phallic	phallisch
phantom	Phantom
phantomlike	geisterhaft
pharaoh	Pharao
pharmaceutical	pharmazeutisch
pharmaceutically	pharmazeutisch
pharmaceutics	Pharmazie
pharmacist	Apotheker
pharmacologically	pharmakologisch
pharmacologist	Pharmakologe
pharmacology	Pharmakologie
phase	Phase
phases	Phasen
pheasant	Fasan
phenomena	Phänomene
phenomenal	phänomenal
phenomenally	phänomenal
phenomenon	Phänomen
philander	Philander
philanderer	Schürzenjäger
philanthropic	philanthropisch
philanthropically	philanthropisch
philanthropist	Philanthrop
philanthropy	Philanthropie
philharmonic	Philharmonie
philosopher	Philosoph
philosophic	philosophisch
philosophical	philosophisch
philosophically	philosophisch
philosophize	philosophieren
philosophy	Philosophie
phishing	Phishing
phlebotomy	Aderlass
phlegm	Schleim
phobic	phobisch
phoenix	Phönix
phone	Telefon
phonebook	Telefonbuch
phonetic	phonetisch
phonetics	Phonetik
phoney	falsch
phonic	phonisch
phonics	Phonik
phonograph	Grammophon
phonographic	phonografisch
phonographically	phonographisch
phonologically	phonologisch
phony	falsch
phooey	Pfui
phosphate	Phosphat
phosphorescence	Phosphoreszenz
phosphorescent	phosphoreszierend
phosphoric	Phosphorsäure
phosphorous	Phosphor
phosphorus	Phosphor
photo	Foto
photoactive	photoaktiv
photocell	Fotozelle
photochemical	photochemisch
photocopier	Kopiergerät
photocopy	Fotokopie
photodynamic	photodynamisch
photoengraver	Fotograveur
photoengraving	Fotogravur
photofinisher	Fotofinisher
photofinishing	Fotofinishing
photogenic	fotogen
photograph	Foto
photographable	fotografierbar
photographer	Fotograf
photographic	fotografisch
photographical	fotografisch
photographically	fotografisch
photography	Fotografie
photojournalism	Fotojournalismus
photojournalist	Fotojournalist
photomap	Fotokarte
photomontage	Fotomontage
photon	Photon
photonegative	photonegativ
photoreceptive	fotorezeptiv
photoreceptor	Fotorezeptor
photosensitive	lichtempfindlich
photosensitivity	Lichtempfindlichkeit
photosensitization	Photosensibilisierung
photosensitize	photosensibilisieren
photoshop	Photoshop
photosynthesis	Photosynthese
photosynthetic	Photosynthetisch
phototherapy	Phototherapie
phototube	Fotoröhre
phrase	Phrase
phrasebook	Sprachführer
phrasemaker	Phrasemaker
phrasemaking	Phrasenbildung
phraseology	Phraseologie
phrasing	Formulierung
physic	Physik
physicality	Körperlichkeit
physically	physisch
physician	Arzt
physicist	Physiker
physics	Physik
physiologic	physiologisch
physiological	physiologisch
physiologically	physiologisch
physiologist	Physiologe
physiology	Physiologie
physiotherapist	Physiotherapeut
physiotherapy	Physiotherapie
physique	Körperbau
phytoplankton	Phytoplankton
pi	Pi
pianist	Pianist
piano	Klavier
piazza	Quadrat
piccolo	klein
pick	wählen
pickax	Hacke
pickaxe	Spitzhacke
picked	gepflückt
picket	Streikposten
picketer	Streikposten
pickings	Auswahl
pickle	Essiggurke
pickled	eingelegt
pickpocket	Taschendieb
pickup	abholen
picky	wählerisch
picnic	Picknick
picnicker	Picknicker
pictogram	Symbol
pictograph	Piktogramm
pictographically	piktographisch
pictography	Piktographie
pictorial	bildlich
pictorially	bildlich
picture	Bild
pictured	abgebildet
pictures	Bilder
picturesque	malerisch
pie	bei
piece	Stück
piecemeal	stückweise
piecework	Akkordarbeit
pieceworker	Akkordarbeiter
piecing	Zusammensetzen
piecrust	Kuchenkruste
pier	Seebrücke
pierce	durchbohren
pierced	durchbohrt
piercer	piercer
piercing	Piercing
piercingly	durchdringend
piety	Frömmigkeit
pig	Schwein
pigeon	Taube
pigeonhole	Fach
piggish	schweinisch
piggy	Schweinchen
piggyback	huckepack
piggybank	Sparschwein
pigheaded	stur
pigheadedly	dickköpfig
pigheadedness	Sturheit
piglet	Ferkel
pigment	Pigment
pigmentation	Pigmentierung
pigpen	Stift auswählen
pigskin	Schweinsleder
pigsty	Schweinestall
pigtail	Zopf
pilaf	Pilaw
pilates	Pilates
pile	Haufen
piled	gestapelt
piles	Haufen
pileup	aufstapeln
pilfer	Diebe
pilfering	Diebstahl
pilgrim	Pilger
pilgrimage	Pilgerfahrt
piling	stapeln
pill	Pille
pillage	plündern
pillager	Plunder
pillar	Säule
pillow	Kissen
pillowcase	Kissenbezug
pillowing	Kissen
pilot	Pilot
pilothouse	war Pilot
piloting	Pilotierung
pilotless	ohne Piloten
pimento	Piment
pimp	Zuhälter
pimping	Zuhälterei
pimple	Pickel
pimpled	pickelig
pin	Stift
pinball	Flipper
pincer	Zange
pincers	Zange
pinch	Prise
pinched	eingeklemmt
pincher	Pincher
pinching	Kneifen
pincushion	Nadelkissen
pine	Kiefer
pineapple	Ananas
pinecone	Tannenzapfen
pined	sehnsüchtig
pinewood	Kiefernholz
ping	Klingeln
pinheaded	stecknadelkopfig
pinhole	Lochblende
pink	Rosa
pinkie	kleiner Finger
pinkish	rosa
pinkness	Rosa
pinky	kleiner Finger
pinnacle	Höhepunkt
pinned	angepinnt
pinpoint	punktgenau
pinprick	Nadelstich
pinstripe	Nadelstreifen
pint	Pint
pintsize	Pintgröße
pinup	Aufstecken
pinwheel	Windrad
pioneer	Pionier
pious	fromm
piously	fromm
pipe	Rohr
piped	verrohrt
pipedream	Wunschtraum
pipeline	Pipeline
pipette	Pipette
pipsqueak	Winzling
piracy	Piraterie
piranha	Piranha
pirate	Pirat
piss	Piss
pissed	besoffen
pisser	Piss
pistachio	Pistazie
pistol	Pistole
piston	Kolben
pit	Grube
pitbull	Pitbull
pitch	Tonhöhe
pitcher	Krug
pitchfork	Heugabel
pitching	pitchen
pitchman	Pitchman
pitchy	pechig
pitfall	Falle
pithily	Nippel
pitiable	bedauernswert
pitiful	erbärmlich
pitifully	kläglich
pitilessly	unbarmherzig
pitted	entkernt
pitting	Lochfraß
pituitary	Hypophyse
pity	Mitleid
pitying	mitleidig
pityingly	Mitleidig
pivot	Drehpunkt
pivotal	ausschlaggebend
pixel	Pixel
pixie	Elf
pixilated	pixelig
pizza	Pizza
pizzazz	Pizzazz
pizzeria	Pizzeria
placard	Plakat
placate	besänftigen
place	Ort
placebo	Placebo
placeholder	Platzhalter
placeless	ortlos
placemat	Tischset
placement	Platzierung
placenta	Plazenta
placid	ruhig
placidly	ruhig
placidness	Gelassenheit
plagiarism	Plagiat
plagiarist	Plagiator
plagiaristic	Plagiat
plagiarize	plagiieren
plagiarizer	Plagiator
plague	Pest
plagued	geplagt
plaid	Plaid
plain	schmucklos
plainclothes	Zivilkleidung
plainclothesman	Zivilpolizist
plainer	schlichter
plainly	deutlich
plainness	Klarheit
plainswoman	Ebenerin
plaintiff	Kläger
plaintive	klagend
plan	planen
plane	Flugzeug
planetarium	Planetarium
planetary	planetarisch
plank	Planke
planking	Beplankung
plankton	Plankton
planner	Planer
plant	Anlage
plantain	Wegerich
planter	Pflanzer
planting	Pflanzen
plantlike	Gemüse
plaque	Plakette
plasma	Plasma
plaster	Gips
plasterer	Stuckateur
plastering	Verputzen
plasterwork	Verputz
plastic	Plastik
plastically	plastisch
plasticity	Plastizität
plastics	Kunststoffe
plate	Platte
plateau	Plateau
plated	vergoldet
plateful	Teller
platelet	Plättchen
platform	Plattform
plating	Überzug
platinum	Platin
platonic	platonisch
platonically	platonisch
platoon	Zug
platypus	Schnabeltier
plausibility	Plausibilität
plausible	plausibel
plausibly	plausibel
playability	Spielbarkeit
playable	spielbar
playact	Theaterstück
playback	Wiedergabe
playbill	Theaterzettel
playbook	Spielbuch
playboy	Playboy
player	Spieler
playfield	Spielfeld
playful	spielerisch
playfully	spielerisch
playfulness	Verspieltheit
playgirl	Playgirl
playground	Spielplatz
playgroup	Spielgruppe
playhouse	Spielhaus
playlist	Wiedergabeliste
playmaker	Spielmacher
playmaking	Spielmacherei
playmate	Spielkamerad
playoff	ausspielen
playoffs	Playoffs
playpen	Laufstall
playroom	Spielzimmer
playschool	Schule spielen
playset	Spielset
playstation	Playstation
plaything	Spielzeug
playtime	Spielzeit
plaza	Platz
plea	Plädoyer
plead	flehen
pleader	Plädoyer
pleading	Bitten
pleadingly	flehend
pleasant	angenehm
pleasantly	angenehm
pleasantness	Freundlichkeit
pleasantry	Scherz
please	Bitte
pleased	erfreut
pleaser	Bitter
pleasing	erfreulich
pleasingly	angenehm
pleasurable	angenehm
pleasurably	angenehm
pleasure	Vergnügen
pleasuring	erfreulich
pleat	Falte
pledge	versprechen
plentiful	reichlich
plentifully	reichlich
plenty	eine Menge
plethora	Fülle
plexiglas	Plexiglas
plexiglass	Plexiglas
pliability	Biegsamkeit
pliable	geschmeidig
pliancy	Biegsamkeit
pliant	geschmeidig
pliers	Zange
plight	Notlage
plod	Obst
plodding	stapfend
plop	plumpsen
plot	Handlung
plotline	Handlungsstrang
plotted	geplottet
plotter	Plotter
plotting	Plotten
plough	Pflug
plow	Pflug
plower	Pflüger
plowman	Pflüger
ploy	Trick
pluck	zupfen
plucker	Zupfer
pluckiness	Unerschrockenheit
plug	Stecker
pluggable	steckbar
plugged	verstopft
plugging	Einstecken
plum	Pflaume
plumage	Gefieder
plumb	Lot
plumber	Klempner
plumbing	Installation
plumed	gefiedert
plummet	Lot
plummeted	stürzte ab
plump	rundlich
plumper	praller
plumping	prall
plumpish	prall
plumpness	Plumpheit
plumps	prall
plunder	Plunder
plunderer	Plünderer
plundering	Plünderung
plunger	Kolben
plunging	stürzen
plural	Plural
pluralism	Pluralismus
pluralistic	pluralistisch
plurality	Pluralität
pluralization	Pluralisierung
pluralize	pluralisieren
plus	Plus
plush	Plüsch
plushy	plüschig
plutonium	Plutonium
ply	lage
plywood	Sperrholz
pneumatic	pneumatisch
pneumonia	Lungenentzündung
pneumonic	Lungenentzündung
poach	pochieren
poacher	Wilderer
pocket	Tasche
pocketbook	Brieftasche
pocketed	eingesteckt
pocketful	voller Taschen
pocketing	Taschenbildung
pocketknife	Taschenmesser
pod	unter
podcast	Podcast
podiatrist	Podologe
podiatry	Podologie
podium	Podium
poem	Gedicht
poet	Dichter
poetess	Dichterin
poetic	poetisch
poetical	poetisch
poetically	poetisch
poeticize	poetisieren
poetics	Poetik
poetry	Poesie
pogo	pogo
poignant	ergreifend
poignantly	ergreifend
point	Punkt
pointed	spitz
pointedly	spitz
pointer	Zeiger
pointing	zeigend
pointless	zwecklos
pointlessly	sinnlos
