english	german
hollowness	hohlheit
holly	stechpalme
holocaust	holocaust
hologram	hologramm
holograph	hologramm
holographic	holografisch
holster	halfter
holstered	geholstert
holy	heilig
holyday	heiliger tag
hombre	mann
hombres	männer
home	heim
homebody	stubenhocker
homebound	heimatgebunden
homeboy	homeboy
homebred	selbstgezüchtet
homebrew	selbstgebraut
homebuilding	hausbau
homebuyer	hauskäufer
homecare	heimpflege
homecoming	heimkehr
homegrown	hausgemacht
homeland	heimat
homeless	obdachlos
homelessness	obdachlosigkeit
homelike	heimelig
homeliness	wohnlichkeit
homely	heimelig
homemaker	hausfrau
homemaking	hauswirtschaft
homeopath	homöopath
homeopathic	homöopathisch
homeopathically	homöopathisch
homeostasis	homöostase
homeostatic	homöostatisch
homeowner	hausbesitzer
homepage	homepage
homeroom	klassenraum
homesick	heimweh
homesickness	heimweh
homespun	selbstgesponnen
homestead	heimstätte
homesteader	heimbewohner
homestretch	zielgeraden
hometown	heimatort
homeward	heimwärts
homework	hausaufgaben
homeworker	heimarbeiter
homey	gemütlich
homicidal	mörderisch
homicidally	mörderisch
homicide	tötung
homing	referenzfahrt
homoeopath	homöopath
homoeopathic	homöopathisch
homoeopathist	homöopath
homoerotism	homoerotismus
homogeneous	homogen
homogeneously	homogen
homogenization	homogenisierung
homogenize	homogenisieren
homogenous	homogen
homonym	homonym
homophobia	homophobie
homophobic	homophobisch
homophonic	homophon
homosexual	homosexuell
homosexuality	homosexualität
hone	schärfen
honest	ehrlich
honestly	ehrlich
honesty	ehrlichkeit
honey	honig
honeybee	honigbiene
honeycomb	bienenwabe
honeydew	honigtau
honeymoon	flitterwochen
honeymooner	flitterwochen
honeypot	honigtopf
honeysuckle	geißblatt
honeysweet	honigsüß
honk	hupen
honor	ehre
honorability	ehrenhaftigkeit
honorable	ehrenhaft
honorableness	ehrenhaftigkeit
honorably	ehrenvoll
honorary	ehrenamtlich
hooch	fusel
hood	haube
hooded	mit kapuze
hoodie	kapuzenpullover
hoodless	ohne kapuze
hoodlum	ganove
hoodwink	täuschen
hoody	kapuzenpullover
hoof	kopf
hoofed	gehuft
hoofmark	hauptmarkt
hoofs	hufe
hook	haken
hookah	huka
hooked	süchtig
hooker	nutte
hookers	nutten
hooknose	hakennase
hookup	anschließen
hookworm	hakenwurm
hooky	süchtig
hooligan	rowdy
hooliganism	rowdytum
hoop	band
hooplike	hoffnungsvoll
hoopskirt	reifenrock
hooray	hurra
hoot	johlen
hooter	hupe
hoover	staubsauger
hop	hop
hope	hoffnung
hoped	gehofft
hopeful	hoffnungsvoll
hopefully	hoffentlich
hopefulness	hoffnung
hopeless	hoffnungslos
hopelessly	hoffnungslos
hopelessness	hoffnungslosigkeit
hopingly	hoffentlich
hopped	hüpfte
hopper	trichter
hoppy	hopfenreich
hopscotch	himmel und hölle
horde	horde
horizon	horizont
horizontal	horizontal
horizontality	horizontalität
horizontally	horizontal
horizontalness	horizontalität
hormonal	hormonell
hormone	hormon
horn	horn
hornbill	nashornvogel
horned	gehörnt
hornet	hornisse
horniness	geilheit
hornless	hornlos
hornlike	hornartig
hornpipe	hornpfeife
horny	geil
horoscope	horoskop
horrendous	schrecklich
horrendously	horrend
horrible	schrecklich
horribleness	schrecklichkeit
horribly	entsetzlich
horrid	schrecklich
horridly	schrecklich
horridness	schrecken
horrific	schrecklich
horrified	entsetzt
horrify	entsetzen
horrifying	schrecklich
horror	grusel
horse	pferd
horseback	zu pferd
horsefly	bremse
horsehair	pferdehaar
horsehide	pferdeleder
horseless	pferdelos
horseman	reiter
horsemeat	pferdefleisch
horseplay	pferdespiel
horsepower	pferdestärken
horserace	pferderennen
horseradish	meerrettich
horseshit	blödsinn
horseshoe	hufeisen
horsetail	schachtelhalm
horsetrading	kuhhandel
horseweed	ackerkraut
horsewhip	reitpeitsche
horsewoman	reiterin
horsey	pferdchen
horsing	pferdesport
horticultural	gartenbau
horticulturalist	gartenbauer
horticulture	gartenbau
horticulturist	gärtner
hose	schlauch
hosed	abgespritzt
hosiery	strumpfwaren
hospice	hospiz
hospitable	gastfreundlich
hospitableness	gastfreundschaft
hospitably	gastfreundlich
hospital	krankenhaus
hospitality	gastfreundschaft
hospitalization	krankenhausaufenthalt
hospitalize	hospitalisieren
host	gastgeber
hostage	geisel
hostel	herberge
hostess	hostess
hostile	feindselig
hostilely	feindselig
hostility	feindseligkeit
hosting	hosting
hot	heiß
hotbed	brutstätte
hotbox	heiße box
hotcake	heißer kuchen
hotdog	hotdog
hotel	hotel
hotelkeeper	hausmeister in einem hotel
hothead	hitzkopf
hotheadedly	hitzköpfig
hotheadedness	hitzkopf
hothouse	treibhaus
hotline	hotline
hotly	heiß
hotness	schärfe
hotplate	heiße platte
hotshot	überflieger
hotspot	hotspot
hotter	heisser
hound	hetzen
hounding	hetze
hour	stunde
hourglass	sanduhr
hourly	stündlich
house	haus
houseboat	hausboot
housebound	hausgebunden
houseboy	boy
housebreaking	einbruch
housebroke	stubenrein
housebroken	stubenrein
housecleaner	putzkraft
housecleaning	hausputz
housecoat	hausmantel
housedress	schürzenkleid
housefly	stubenfliege
houseguest	hausgast
household	haushalt
housekeeper	haushälterin
housekeeping	hauswirtschaft
houseless	obdachlos
housemaid	hausmädchen
houseman	hausmann
housemate	mitbewohner
housepainter	hausmaler
houseplant	zimmerpflanze
houseroom	hausraum
housesit	haussitter
housetop	dach
housetops	hausdächer
housewarming	einweihungsparty
housewife	hausfrau
housewifery	hausfrau
housework	hausarbeit
housing	gehäuse
hover	schweben
hovercraft	luftkissenfahrzeug
hoverer	schwebt
hovering	schwebend
how	wie
howdy	hallo
however	jedoch
howl	heulen
howler	heuler
howling	heulen
howsoever	wie auch immer
hub	nabe
hubbub	trubel
hubby	mein mann
hubcap	radkappe
huckleberry	heidelbeere
huddle	haufen
huddling	zusammengedrängt
hue	farbton
hued	gefärbt
huff	schnauf
huffily	beleidigt
huffiness	verärgertheit
huffy	verärgert
hug	umarmung
huge	riesig
hugely	gewaltig
hugeness	größe
huggable	umarmbar
hugger	hacken
hugging	umarmen
huh	huh
hula	hula
hulk	hulk
hulking	gewaltig
hulky	charakter
hull	rumpf
hum	summen
human	menschlich
humane	menschlich
humaneness	menschlichkeit
humanism	humanismus
humanist	humanist
humanistic	humanistisch
humanitarian	humanitär
humanitarianism	humanität
humanities	geisteswissenschaften
humanity	menschheit
humanization	humanisierung
humanize	vermenschlichen
humanizer	humanisierer
humanizing	humanisierend
humankind	menschheit
humanlike	menschenähnlich
humanly	menschlich
humanness	menschlichkeit
humanoid	humanoid
humble	bescheiden
humbleness	demut
humbler	bescheidener
humbling	demütigend
humbly	demütig
humbug	humbug
humbuggery	humbug
humdinger	humdinger
humerus	humerus
humid	feucht
humidification	befeuchtung
humidifier	luftbefeuchter
humidify	befeuchten
humidity	feuchtigkeit
humidly	feucht
humidness	luftfeuchtigkeit
humiliate	demütigen
humiliating	demütigend
humiliatingly	demütigend
humiliation	erniedrigung
humility	demut
hummer	hummer
humming	summt
hummingbird	kolibri
hummus	hummus
humongous	gigantisch
humor	humor
humorist	humorist
humorless	humorlos
humorlessness	humorlosigkeit
humorous	humorvoll
humorously	humorvoll
hump	buckel
humpback	buckel
humpbacked	bucklig
humped	bucklig
humpy	bucklig
humungous	riesig
humvee	humvee
hunch	ahnung
hunchback	bucklige
hunchbacked	bucklig
hundred	hundert
hundredfold	hundertfach
hundredth	hundertstel
hung	aufgehängt
hunger	hunger
hungriness	hungriness
hungry	hungrig
hunk	stück
hunker	hunker
hunks	kerle
hunky	hunky
hunt	jagd
hunter	jäger
hunting	jagd
huntress	jägerin
huntsman	jäger
huntswoman	jagdreiterin
hurdle	hürde
hurdler	hürdenläufer
hurl	schleudern
hurled	geschleudert
hurler	schleuderer
hurling	schleudern
hurrah	hurra
hurray	hurra
hurricane	hurrikan
hurried	beeilte sich
hurriedly	eilig
hurriedness	hastigkeit
hurry	beeil dich
hurryingly	eilig
hurt	verletzt
hurtful	verletzend
hurtfully	verletzend
hurtfulness	verletzend
hurting	tut weh
hurtle	rasen
husband	ehemann
husbandless	ohne ehemann
husbandly	ehelich
husbandry	haltung
hush	stille
hushed	verstummte
hushing	schweigen
husk	erinnern
husked	geschält
huskily	heiser
huskiness	heiserkeit
husky	heiser
hussy	flittchen
hustle	eile
hustler	stricher
hut	hütte
hutch	stall
hybrid	hybrid
hybridization	hybridisierung
hydra	hydra
hydrant	hydrant
hydrate	hydrat
hydrated	hydratisiert
hydration	flüssigkeitszufuhr
hydraulic	hydraulisch
hydraulics	hydraulik
hydro	wasserkraft
hydrocarbon	kohlenwasserstoff
hydrochemistry	hydrochemie
hydrochloride	hydrochlorid
hydrocortisone	hydrocortison
hydroelectric	wasserkraft
hydroelectricity	wasserkraft
hydrogen	wasserstoff
hydrogenate	hydrieren
hydrogenated	hydriert
hydrogenous	wasserstoffhaltig
hydrolysis	hydrolyse
hydrometer	hydrometer
hydrophobia	hydrophobie
hydrophobic	hydrophob
hydroplane	wasserflugzeug
hydroponic	hydroponisch
hydropower	wasserkraft
hydroscopic	hydroskopisch
hydrosulfide	hydrosulfid
hydrotherapeutic	hydrotherapeutisch
hydrothermal	hydrothermal
hydroxide	hydroxid
hyena	hyäne
hygiene	hygiene
hygienic	hygienisch
hygienically	hygienisch
hygienist	hygieniker
hymen	hymen
hymn	hymne
hymnbook	gesangbuch
hype	hype
hyperacidity	hyperazidität
hyperactive	hyperaktiv
hyperactivity	hyperaktivität
hyperbola	hyperbel
hyperbole	hyperbel
hyperbolic	hyperbolisch
hyperbolically	hyperbolisch
hyperbolize	hyperbolisieren
hypercompetitive	hyperkompetitiv
hyperconsciousness	hyperbewusstsein
hypercritical	überkritisch
hypercritically	überkritisch
hypercriticism	hyperkritik
hyperextend	überdehnen
hyperextension	hyperextension
hyperglycemia	hyperglykämie
hyperglycemic	hyperglykämisch
hyperinflation	hyperinflation
hyperinflationary	hyperinflationär
hyperirritability	überreizbarkeit
hyperirritable	hyperreizbar
hyperkinetic	hyperkinetisch
hyperlink	hyperlink
hypersensitive	überempfindlich
hypersensitiveness	überempfindlichkeit
hypersensitivity	überempfindlichkeit
hypersexual	hypersexuell
hypersonic	hyperschall
hyperspace	hyperraum
hypertensive	hypertensiv
hypertext	hypertext
hyperthermia	hyperthermie
hyperthyroid	hyperthyreose
hyperthyroidism	hyperthyreose
hyperventilate	hyperventilieren
hyperventilation	hyperventilation
hyphen	bindestrich
hyphenate	bindestrich
hyphenated	getrennt
hyphenation	silbentrennung
hypnoses	hypnose
hypnosis	hypnose
hypnotherapist	hypnotherapeut
hypnotherapy	hypnotherapie
hypnotic	hypnotisch
hypnotically	hypnotisch
hypnotism	hypnotismus
hypnotist	hypnotiseur
hypnotizable	hypnotisierbar
hypnotization	hypnose
hypnotize	hypnotisieren
hypnotizer	hypnotiseur
hypo	hypo
hypoallergenic	hypoallergen
hypochondria	hypochondrie
hypochondriac	hypochonder
hypocrisy	heuchelei
hypocrite	heuchler
hypocritical	heuchlerisch
hypocritically	heuchlerisch
hypodermal	subkutan
hypodermic	subkutan
hypoglycemia	hypoglykämie
hypoglycemic	hypoglykämisch
hypotenuse	hypotenuse
hypothermal	unterkühlt
hypothermia	unterkühlung
hypothermic	unterkühlt
hypotheses	hypothesen
hypothesis	hypothese
hypothesize	hypothese
hypothetical	hypothetisch
hypothetically	hypothetisch
hypothyroidism	hypothyreose
hysteria	hysterie
hysteric	hys teri c
hysterical	hysterisch
hysterically	hysterisch
hysterics	hysterie
i	ich
ibuprofen	ibuprofen
iceberg	eisberg
iceboat	segelschlitten
icebound	eisgebunden
icebox	eisfach
icebreaker	eisbrecher
icecap	eiskappe
icecream	eiscreme
iced	vereist
iceless	eisfrei
icemaker	eismaschine
iceman	mann aus dem eis
icepack	eisbeutel
icepick	eispickel
iceskate	eislaufen
iciness	eiseskälte
icing	glasur
icky	eklig
icon	symbol
iconic	ikonisch
iconographer	ikonograph
iconographical	ikonografisch
iconology	ikonologie
icy	eisig
id	ausweis
idea	idee
ideal	ideal
idealess	ideallos
idealism	idealismus
idealist	idealist
idealistic	idealistisch
idealistically	idealistisch
ideality	idealität
idealization	idealisierung
idealize	idealisieren
idealizer	idealisierer
ideally	im idealfall
idealness	idealität
identical	identisch
identically	identisch
identicalness	identität
identifiable	identifizierbar
identification	identifikation
identify	identifizieren
identity	identität
ideological	ideologisch
ideologically	ideologisch
ideologist	ideologe
ideology	ideologie
idiocy	idiotie
idiom	idiom
idiomatic	idiomatisch
idiosyncrasy	idiosynkrasie
idiosyncratic	eigenwillig
idiosyncratically	eigenwillig
idiot	idiot
idiotic	idiotisch
idiotically	idiotisch
idle	leerlauf
idler	faulenzer
idly	untätig
idol	idol
idolatrize	vergöttern
idolism	idolismus
idolization	vergötterung
idolize	vergöttern
idyllic	idyllisch
idyllically	idyllisch
if	wenn
igloo	iglu
ignite	entzünden
igniter	zünder
ignition	zündung
ignorable	ignorierbar
ignoramus	wir wissen nicht
ignorance	ignoranz
ignorantly	unwissend
ignore	ignorieren
iguana	leguan
ill	krank
illegal	illegal
illegality	rechtswidrigkeit
illegalize	illegalisieren
illegally	illegal
illegibility	unleserlichkeit
illegible	unleserlich
illegibly	unleserlich
illegitimacy	unrechtmäßigkeit
illegitimately	unrechtmäßig
illegitimatize	illegitimieren
illicit	illegal
illicitly	illegal
illicitness	illegalität
illiteracy	analphabetentum
illiterate	analphabet
illiterately	analphabeten
illiterateness	analphabetismus
illness	erkrankung
illogic	unlogisch
illogical	unlogisch
illogically	unlogisch
illuminate	erleuchten
illuminated	beleuchtet
illuminati	illuminaten
illuminating	erhellend
illumination	erleuchtung
illuminative	erhellend
illuminator	illuminator
illusion	illusion
illusionary	illusionär
illusionist	illusionist
illusive	illusorisch
illusiveness	illusivität
illusory	illusorisch
illustratable	bebilderbar
illustrate	veranschaulichen
illustration	illustration
illustrational	illustrativ
illustrative	illustrativ
illustratively	anschaulich
illustrator	illustrator
illustrious	berühmt
illustriously	illustriert
illustriousness	erhabenheit
image	bild
imageability	bildbarkeit
imageless	bildlos
imagery	bilder
imaginable	denkbar
imaginably	vorstellbar
imaginary	imaginär
imagination	vorstellung
imaginative	fantasievoll
imaginatively	phantasievoll
imaginativeness	einfallsreichtum
imagine	vorstellen
imagines	stellt sich vor
imaging	bildgebung
imbalance	ungleichgewicht
imbecile	schwachsinnig
imbecilic	schwachsinnig
imbed	einbetten
imitate	imitieren
imitation	nachahmung
imitatively	nachahmend
imitator	imitator
immaculate	unbefleckt
immaculately	tadellos
immaculateness	makellosigkeit
immanent	immanent
immaterial	immateriell
immaterialism	immaterialismus
immateriality	immaterialität
immaterialize	immaterialisieren
immaterially	immateriell
immature	unreif
immaturely	unreif
immatureness	unreife
immaturity	unreife
immeasurability	unermesslichkeit
immeasurable	unermesslich
immeasurableness	unermesslichkeit
immeasurably	unermesslich
immediacy	unmittelbarkeit
immediately	sofort
immediateness	unmittelbarkeit
immense	immens
immensely	immens
immenseness	unermesslichkeit
immensity	unermesslichkeit
immersion	eintauchen
immersive	immersiv
immigrant	immigrant
immigrate	einwandern
immigration	einwanderung
imminence	unmittelbar bevorstehen
imminent	unmittelbar bevorsteht
imminently	unmittelbar bevor
immobile	unbeweglich
immobility	unbeweglichkeit
immobilize	immobilisieren
immobilizer	wegfahrsperre
immoderate	maßlos
immoderately	maßlos
immoderation	unmäßigkeit
immodest	unbescheiden
immodestly	unbescheiden
immoral	unmoralisch
immorality	unmoral
immorally	unmoralisch
immortal	unsterblich
immortality	unsterblichkeit
immortalize	verewigen
immortally	unsterblich
immovability	unbeweglichkeit
immovable	unbeweglich
immovableness	unbeweglichkeit
immovably	unbeweglich
immune	immun
immunity	immunität
immunization	immunisierung
immunize	immunisieren
immunological	immunologisch
immunologist	immunologe
immunology	immunologie
immunosuppressive	immunsuppressiv
immunotherapy	immuntherapie
immutable	unveränderlich
impact	auswirkungen
impacted	beeinflusst
impactful	wirkungsvoll
impair	beeinträchtigen
impaired	beeinträchtigte
impairer	beeinträchtiger
impairment	beeinträchtigung
impalement	aufspießen
impalpability	unfühlbarkeit
impalpable	unmerklich
impalpably	unmerklich
impart	vermitteln
impartial	unparteiisch
impartiality	unparteilichkeit
impartially	unparteiisch
impartialness	unparteilichkeit
impartibility	unparteilichkeit
impassable	unpassierbar
impassably	unpassierbar
impassibility	unwegsamkeit
impassible	teilnahmslos
impassion	leidenschaft
impassioned	leidenschaftlich
impassive	teilnahmslos
impassiveness	gleichgültigkeit
impassivity	gleichgültigkeit
impatience	ungeduld
impatient	ungeduldig
impatiently	ungeduldig
impeach	anklagen
impeachability	amtsenthebung
impeachable	anfechtbar
impeacher	amtsenthebungsbeamter
impeachment	amtsenthebungsverfahren
impeccable	einwandfrei
impeccably	einwandfrei
impedance	impedanz
impede	behindern
impediment	behinderung
impedimentary	hinderlich
impeding	behindern
impending	bevorsteht
impenetrability	undurchdringlichkeit
impenetrable	undurchdringlich
impenetrably	undurchdringlich
imperative	imperativ
imperatively	zwingend
imperceptibility	unmerklichkeit
imperceptiveness	unaufmerksamkeit
imperfection	unvollkommenheit
imperfectly	unvollkommen
imperfectness	unvollkommenheit
imperialism	imperialismus
imperialist	imperialistisch
imperialistic	imperialistisch
imperialistically	imperialistisch
imperially	kaiserlich
imperiousness	herrschsucht
imperishable	unvergänglich
imperishableness	unvergänglichkeit
imperishably	unvergänglich
impermanence	unbeständigkeit
impermeability	undurchlässigkeit
impermeable	undurchlässig
impermissible	unzulässig
impersonal	unpersönlich
impersonalize	unpersönlich machen
impersonally	unpersönlich
impersonate	imitieren
impersonation	identitätswechsel
impertinence	unverschämtheit
impertinent	unverschämt
impervious	undurchlässig
imperviously	undurchdringlich
impetuous	ungestüm
impetuousness	ungestüm
impish	schelmisch
impishness	unverschämtheit
implacable	unerbittlich
implacableness	unerbittlichkeit
implant	implantieren
implantable	implantierbar
implantation	implantation
implausibility	unplausibilität
implausible	unglaubwürdig
implausibly	unplausibel
implement	implementieren
implemental	umsetzbar
implementation	implementierung
implementer	umsetzer
implicate	implizieren
implication	implikation
implicit	implizit
implicitly	implizit
implicitness	implizitheit
implode	implodieren
imploration	bitte
implore	flehen
implorer	flehen
imploring	flehentlich
imploringly	flehend
implosion	implosion
implosive	implosiv
implosively	implosiv
impolite	unhöflich
impolitely	unhöflich
impoliteness	unhöflichkeit
imponderable	unwägbar
importability	importierbarkeit
importance	bedeutung
important	wichtig
importantly	wichtig
importation	einfuhr
importer	importeur
impose	auferlegen
imposer	auferlegen
imposing	imposant
imposingness	stattlichkeit
imposition	verhängung
impossibility	unmöglichkeit
impossible	unmöglich
impossibly	unmöglich
imposter	hochstapler
impostor	hochstapler
impotence	impotenz
impotency	impotenz
impotent	impotent
impound	beschlagnahmen
impounder	beschlagnahmen
impoundment	beschlagnahme
impoverish	verarmen
impoverished	verarmt
impoverishment	verarmung
impracticability	undurchführbarkeit
impractical	unpraktisch
impracticality	unbrauchbarkeit
impracticalness	unpraktikabilität
imprecisely	ungenau
imprecision	ungenauigkeit
impregnable	uneinnehmbar
impregnate	imprägnieren
impregnation	imprägnierung
impregnator	imprägniermittel
impress	beeindrucken
impressibility	beeindruckbarkeit
impression	eindruck
impressionability	beeinflussbarkeit
impressionable	beeinflussbar
impressionableness	beeinflussbarkeit
impressionably	eindrucksvoll
impressionism	impressionismus
impressionist	impressionist
impressionistic	impressionistisch
impressionistically	impressionistisch
impressive	beeindruckend
impressively	eindrucksvoll
impressiveness	beeindruckend
imprint	impressum
imprinter	imprinter
imprison	einsperren
imprisonment	haft
improbability	unwahrscheinlichkeit
improbable	unwahrscheinlich
improbably	unwahrscheinlich
impromptu	impromptu
improper	unpassend
improperly	unsachgemäß
improperness	unangemessenheit
impropriety	unschicklichkeit
improvable	verbesserungswürdig
improve	verbessern
improvement	verbesserung
improving	verbessern
improvingly	sich verbessernd
improvisation	improvisation
improvisational	improvisatorisch
improvise	improvisieren
improviser	improvisator
imprudence	unvorsichtigkeit
imprudent	unklug
imprudently	unvorsichtig
impudence	frechheit
impudently	frech
impulsive	treibend
impulsively	impulsiv
impulsiveness	impulsivität
impulsivity	impulsivität
impunity	straflosigkeit
impure	unrein
impurely	unrein
impureness	unreinheit
impurity	verunreinigung
imputable	zurechenbar
in	in
inability	unfähigkeit
inacceptable	inakzeptabel
inaccessibility	unzugänglichkeit
inaccessible	nicht zugänglich
inaccessibleness	unzugänglichkeit
inaccessibly	unzugänglich
inaccuracy	ungenauigkeit
inaccurate	ungenau
inaccurately	ungenau
inaccurateness	ungenauigkeit
inaction	untätigkeit
inactivate	inaktivieren
inactivation	inaktivierung
inactive	inaktiv
inactively	inaktiv
inactiveness	inaktivität
inactivity	inaktivität
inadaptability	unanpassungsfähigkeit
inadaptable	unanpassungsfähig
inadequacy	unzulänglichkeit
inadequate	unzureichend
inadequately	unzureichend
inadequateness	unzulänglichkeit
inadmissibility	unzulässigkeit
inadmissible	unzulässig
inadmissibly	unzulässig
inadvertence	versehen
inadvertent	unbeabsichtigt
inadvertently	versehentlich
inadvisability	unratsamkeit
inadvisable	nicht ratsam
inalienability	unveräußerlichkeit
inalterable	unveränderlich
inalterably	unveränderlich
inanimate	unbelebt
inanimately	unbelebt
inapplicability	unanwendbarkeit
inapplicable	nicht anwendbar
inapplicably	nicht anwendbar
inappreciably	unmerklich
inappreciative	undankbar
inapprehension	unverständnis
inapprehensive	ängstlich
inapproachable	unnahbar
inappropriate	unangemessen
inappropriately	unangemessen
inappropriateness	unangemessenheit
inaptitude	unfähigkeit
inarguable	unbestreitbar
inarguably	unbestreitbar
inarticulate	unartikuliert
inarticulately	unartikuliert
inarticulateness	unartikuliertheit
inartificiality	unkünstlichkeit
inartistic	unkünstlerisch
inartistically	kunstlos
inasmuch	insofern
inattention	unaufmerksamkeit
inattentive	unaufmerksam
inattentively	unaufmerksam
inattentiveness	unaufmerksamkeit
inaudible	unverständlich
inaudibly	unhörbar
inaugural	eröffnung
inaugurate	weihen
inauguration	amtseinführung
inauspicious	ungünstig
inauspiciously	ungünstig
inauthentic	unecht
inboard	innenbord
inbound	eingehende
inbox	posteingang
inbred	inzucht
inbreed	inzucht
incalculability	unberechenbarkeit
incalculably	unkalkulierbar
incandescence	glühen
incandescent	weißglühend
incandescently	weißglühend
incantation	beschwörung
incapability	unfähigkeit
incapable	unfähig
incapably	unfähig
incapacitate	handlungsunfähig
incapacitation	unfähigkeit
incapacity	unfähigkeit
incarcerate	einsperren
incarceration	inhaftierung
incarnate	verkörpern
incarnation	menschwerdung
incendiary	brandstiftend
incense	weihrauch
incentive	anreiz
inceptively	zunächst einmal
incessant	unaufhörlich
incest	inzest
incestuous	inzestuös
inch	zoll
inchworm	zollwurm
incidence	vorfall
incident	vorfall
incidental	zufällig
incidentally	übrigens
incinerate	verbrennen
incineration	verbrennung
incinerator	verbrennungsanlage
incise	graviert
incision	einschnitt
incisive	scharfsinnig
incisiveness	prägnanz
incisor	schneidezahn
incite	aufstacheln
incitingly	anregend
incivility	unhöflichkeit
inclement	unbarmherzig
inclemently	unbarmherzig
incline	neigung
inclined	geneigt
incliner	neigung
include	enthalten
included	inbegriffen
including	einschließlich
inclusion	aufnahme
inclusively	einschließlich
inclusiveness	inklusivität
incoercible	unzwangbar
incognito	inkognito
incoherence	zusammenhanglosigkeit
incoherency	inkohärenz
incoherent	inkohärent
incoherently	zusammenhanglos
incohesion	inkohärenz
incombustibility	unbrennbarkeit
incombustible	feuerfest
income	einkommen
incoming	eingehend
incommunicable	unkommunizierbar
incommunicative	unkommunikativ
incommunicativeness	kommunikationslosigkeit
incomparability	unvergleichbarkeit
incomparableness	unvergleichlichkeit
incomparably	unvergleichlich
incompatibility	unvereinbarkeit
incompatible	unvereinbar
incompatibleness	unvereinbarkeit
incompatibly	unvereinbar
incompetence	inkompetenz
incompetency	inkompetenz
incompetent	inkompetent
incomplete	unvollständig
incompletely	unvollständig
incompleteness	unvollständigkeit
incompletion	unvollständigkeit
incompliance	in übereinstimmung
incomprehensibility	unverständlichkeit
incomprehensible	unverständlich
incomprehensibleness	unverständlichkeit
incomprehensibly	unbegreiflich
incomprehension	unverständnis
incomprehensive	unverständlich
incomprehensively	unverständlich
incomprehensiveness	unverständlichkeit
incompressible	inkompressibel
incomputable	unberechenbar
inconceivable	undenkbar
inconceivableness	unvorstellbarkeit
inconceivably	unvorstellbar
inconclusive	nicht schlüssig
inconclusively	ergebnislos
incongruence	inkongruenz
incongruent	inkongruent
incongruently	inkongruent
incongruity	inkongruenz
incongruousness	inkongruenz
inconquerable	unbesiegbar
inconsecutive	unaufeinanderfolgende
inconsecutively	unaufeinanderfolgende
inconsecutiveness	unkontinuität
inconsequential	belanglos
inconsequentiality	belanglosigkeit
inconsequentially	belanglos
inconsequently	inkonsequenterweise
inconsiderable	unbeträchtlich
inconsiderate	rücksichtslos
inconsiderately	rücksichtslos
inconsiderateness	rücksichtslosigkeit
inconsideration	unter berücksichtigung
inconsistence	inkonsistenz
inconsistency	inkonsistenz
inconsistent	inkonsistent
inconsistently	uneinheitlich
inconsolability	untröstlichkeit
inconsolable	untröstlich
inconsolableness	untröstlichkeit
inconsolably	untröstlich
inconspicuous	unauffällig
inconspicuously	unauffällig
inconspicuousness	unauffälligkeit
inconstantly	unbeständig
inconsumable	unverzehrbar
incontestability	unanfechtbarkeit
incontestable	unbestreitbar
incontestably	unbestreitbar
incontinence	inkontinenz
incontinency	inkontinenz
incontrollable	unkontrollierbar
incontrovertibility	unumstößlichkeit
incontrovertibly	unwiderlegbar
inconvenience	unannehmlichkeit
inconvenient	ungünstig
inconveniently	ungünstig
inconvertibility	unkonvertibilität
inconvertible	nicht umwandelbar
inconvincible	unbesiegbar
incorporate	übernehmen
incorporated	eingearbeitet
incorporation	eingliederung
incorporator	gründer
incorporeal	unkörperlich
incorrect	falsch
incorrectly	falsch
incorrectness	unrichtigkeit
incorrigible	unverbesserlich
incorrigibly	unverbesserlich
incorruptibility	unbestechlichkeit
incorruptible	unbestechlich
incorruptibly	unbestechlich
incorruption	unbestechlichkeit
incorruptness	unbestechlichkeit
increasable	steigerbar
increase	zunahme
increasing	zunehmend
increasingly	zunehmend
incredible	unglaublich
incredibleness	unglaublichkeit
incredibly	unglaublich
incredulous	ungläubig
incredulously	ungläubig
incredulousness	ungläubigkeit
increment	zuwachs
incremental	inkrementell
incrementally	schrittweise
incriminate	belasten
incriminating	belastend
incrimination	belastung
incriminator	belastend
incriminatory	belastend
incubate	inkubieren
incubation	inkubation
incubator	inkubator
incubatory	inkubatorium
incumbency	amtsinhaber
incumbent	amtsinhaber
incumbently	amtsinhaber
incur	eingehen
incurability	unheilbarkeit
incurable	unheilbar
incurableness	unheilbarkeit
incurably	unheilbar
incursion	einfall
incursive	aufdringlich
indebt	schulden haben
indebted	verschuldet
indebtedness	verschuldung
indecency	unanständigkeit
indecent	unanständig
indecently	unanständig
indecipherability	unkenntlichkeit
indecipherable	nicht entzifferbar
indecision	unentschlossenheit
indecisive	unentschlossen
indecisiveness	unentschlossenheit
indeclinable	unabweisbar
indeed	in der tat
indefensibility	unhaltbarkeit
indefensible	unhaltbar
indefensibly	unhaltbar
indefinable	undefinierbar
indefinableness	undefinierbarkeit
indefinably	undefinierbar
indefinite	unbestimmt
indefinitely	unbegrenzt
indefiniteness	unbestimmtheit
indelible	unauslöschlich
indelibly	unauslöschlich
indelicate	unfein
indelicately	taktlos
indemnify	entschädigen
indent	einzug
indented	eingerückt
indention	einzug
indentured	vertraglich gebunden
independence	unabhängigkeit
independency	unabhängigkeit
independent	unabhängig
independently	unabhängig
indescribability	unbeschreiblichkeit
indescribable	unbeschreiblich
indescribably	unbeschreiblich
indestructibility	unzerstörbarkeit
indestructible	unzerstörbar
